Booking No,Agent,Country,Tour Type,Booking Date,Amount,Status
BK021258,Cox & Kings,USA,Cultural,2026-10-18,4146,Cancelled
BK021259,Booking.com,UAE,Cultural,2026-10-10,,Confirmed
BK021260,Expedia,,Wildlife,2026-12-10,2878,Cancelled
BK021261,Trailfinders,Spain,Wildlife,2026-02-28,1401,Cancelled
BK021262,Trailfinders,UAE,Leisure,2026-02-14,2086,Confirmed
BK021263,Cox & Kings,USA,,2026-09-04,2932,Cancelled
BK021264,TUI,Canada,Family,2026-09-25,-1699,Pending
BK021265,MakeMyTrip,Spain,Business,2026-09-24,465,Confirmed
BK021266,Booking.com,Canada,Leisure,2026-06-01,2103,Cancelled
BK008046,Trailfinders,Italy,Cultural,2026-08-08,4922,Pending
BK021268,MakeMyTrip,UAE,Wildlife,2026-02-13,4846,Completed
BK021269,,Germany,Adventure,2026-05-25,3764,Cancelled
BK021270,TUI,UK,Business,2026-01-16,abc,Pending
BK021271,Cox & Kings,,Business,2026-09-13,1700,Completed
BK021272,Booking.com,USA,Wildlife,,3639,Completed
BK021273,MakeMyTrip,USA,Leisure,2026-04-20,3178,Cancelled
BK021274,Expedia,Germany,Business,2026-01-31,2977,Pending
BK021275,TUI,Spain,Business,2026-10-15,1229,Pending
BK016939,Cox & Kings,Italy,Leisure,2026-09-28,764,Completed
BK021277,Trailfinders,UAE,Honeymoon,,102,Completed
BK021278,MakeMyTrip,France,Honeymoon,2026-05-08,3081,
BK021279,Cox & Kings,France,Business,2026-05-22,N/A,Completed
BK021280,Kuoni,Japan,Business,2026-08-10,4599,Confirmed
BK021281,Booking.com,Italy,Honeymoon,2026-12-19,-1967,Completed
BK016206,Thomas Cook,USA,Family,2026-04-03,1878,Cancelled
BK021283,Cox & Kings,Australia,Cultural,yesterday,4313,Pending
BK021284,TUI,Canada,Family,2026-09-05,null,Cancelled
BK021285,Expedia,Germany,Leisure,2026-05-28,,Pending
BK021286,Kuoni,USA,Leisure,2026-04-11,713,Cancelled
BK010210,Trailfinders,Canada,Wildlife,2026-01-15,3184,Cancelled
BK021288,MakeMyTrip,UAE,Family,,865,Cancelled
BK021289,Cox & Kings,Spain,Business,2026-03-27,4545,Pending
BK021290,Cox & Kings,France,Family,2026-07-28,2102,Confirmed
BK021291,Cox & Kings,Germany,Business,2026-12-08,2929,Completed
BK021292,MakeMyTrip,Spain,Business,2026-01-23,3106,Completed
BK021293,TUI,USA,Business,2026-01-02,2284,Pending
BK021294,Trailfinders,Spain,Business,,842,Confirmed
BK021295,Expedia,,Honeymoon,2026-05-05,4389,Pending
BK021296,Expedia,Italy,Leisure,2026/01/01/01,3936,Completed
BK021297,Cox & Kings,Australia,Honeymoon,2026-10-23,-1840,Cancelled
BK021298,Kuoni,Japan,,2026-06-01,4581,Completed
BK021299,Kuoni,Italy,Leisure,2026-06-05,3414,Confirmed
BK006331,Expedia,Italy,Leisure,2026-01-29,1523,Confirmed
BK021301,Cox & Kings,Italy,Cultural,2026-07-10,1990,Confirmed
BK021302,Kuoni,Germany,Adventure,2026-05-24,3597,Confirmed
BK021303,Trailfinders,,Business,2026-04-08,4952,Pending
BK021304,Cox & Kings,Germany,Honeymoon,2026-10-29,3885,Cancelled
BK021305,Cox & Kings,Australia,,2026-01-14,4652,Cancelled
BK021306,TUI,Japan,Wildlife,2026-12-12,4573,Pending
BK021307,TUI,France,Family,2026-02-12,1138,Pending
BK021308,Trailfinders,UK,Business,0000-00-00,489,Pending
BK021309,TUI,Spain,Family,2026-10-07,4007,Completed
BK021310,Booking.com,UAE,Business,2026-04-03,4439,Cancelled
BK021311,MakeMyTrip,Italy,Leisure,2026-03-16,3235,Pending
BK021312,,Spain,Adventure,2026-11-21,3492,Cancelled
BK016672,Cox & Kings,UAE,Honeymoon,2026-05-01,1571,Confirmed
BK021314,Cox & Kings,Italy,Cultural,2026-11-08,4885,Completed
BK021315,Expedia,Japan,Honeymoon,,111,Cancelled
BK021316,MakeMyTrip,Canada,Business,2026-05-19,4965,Cancelled
BK021317,Trailfinders,USA,Business,2026-10-24,2949,Cancelled
BK021318,MakeMyTrip,Germany,Business,2026-02-30,4363,Completed
BK021319,Cox & Kings,Italy,Wildlife,2026-10-05,1979,Completed
BK021320,Thomas Cook,Canada,Cultural,2026-03-28,-1968,Completed
BK021321,Cox & Kings,UAE,Family,2026-01-17,1361,Cancelled
BK021322,Cox & Kings,Germany,Leisure,00/00/0000,4344,Pending
BK021323,Trailfinders,Australia,Business,2026.01.15,1067,Confirmed
BK021324,Trailfinders,USA,Business,2026-06-25,3412,Confirmed
BK021325,MakeMyTrip,France,Adventure,notadate,4484,Pending
BK021326,Kuoni,Japan,Leisure,2026-10-15,4435,Cancelled
BK021327,Trailfinders,Spain,Cultural,2026-03-26,NaN,Cancelled
BK021265,Booking.com,Italy,Leisure,2026-03-19,1146,Completed
BK021329,MakeMyTrip,UK,Adventure,2026-04-02,-58,Pending
BK021330,Expedia,Spain,Business,32/01/2026,2732,Completed
BK021331,Kuoni,Italy,Wildlife,2026-01-16,2873,Completed
BK021332,Booking.com,UK,Business,2026-06-21,3712,Completed
BK021333,Trailfinders,UK,Family,2026-01-30,-1025,Confirmed
BK021334,Kuoni,Spain,Business,Jan 15 2026,931,Cancelled
BK021335,Expedia,Japan,Business,2026-11-19,1409,Confirmed
BK021336,TUI,Germany,Leisure,2026-08-24,939,Completed
BK012185,Kuoni,Italy,Honeymoon,2026-06-02,392,Cancelled
BK021338,MakeMyTrip,USA,Honeymoon,0000-00-00,1820,Completed
BK021339,MakeMyTrip,Italy,Wildlife,2026/01/01/01,4937,Confirmed
BK021340,Booking.com,USA,Business,2026-12-07,-544,Completed
BK004614,MakeMyTrip,Canada,Family,2026-09-15,1082,Confirmed
BK021342,TUI,UK,Business,2026-10-24,1655,Completed
BK021343,Trailfinders,Japan,Family,2026-02-21,1201,Completed
BK021344,Thomas Cook,Italy,Leisure,2026-12-09,2087,Confirmed
BK021345,Trailfinders,UAE,Leisure,2026-09-19,865,Completed
BK021346,Expedia,France,Wildlife,2026-12-15,2453,Pending
BK021347,Booking.com,UAE,Business,2026-02-16,617,Pending
BK021348,MakeMyTrip,UAE,Cultural,2026-06-08,-1484,Completed
BK021349,Kuoni,Germany,Family,2026-10-10,4964,Completed
BK021350,Expedia,Japan,Wildlife,2026-06-17,$500,Completed
BK006104,Thomas Cook,Spain,Cultural,2026-06-10,2128,Completed
BK021352,Expedia,Italy,Wildlife,2026-12-27,1814,Cancelled
BK021353,Trailfinders,UK,Leisure,2026-08-24,2041,Confirmed
BK021354,Expedia,Spain,Business,2026-03-27,2879,Confirmed
BK021355,TUI,UK,Honeymoon,2026-12-30,4774,Pending
BK021356,Thomas Cook,Japan,Wildlife,2026-06-25,1387,Pending
BK021357,Expedia,USA,Business,Jan 15 2026,1688,Cancelled
BK001701,Trailfinders,France,Adventure,2026-11-10,1957,Completed
BK021359,Booking.com,UK,Adventure,2026-11-04,1035,Completed
BK021360,MakeMyTrip,UK,Honeymoon,2026/01/01/01,2205,Pending
BK021361,Cox & Kings,France,Wildlife,2026-02-18,2194,Confirmed
BK021362,MakeMyTrip,USA,Business,2026-12-20,2103,Completed
BK021363,Booking.com,Japan,Adventure,2026-11-15,1597,
BK021364,Kuoni,France,Family,2026-01-27,621,Confirmed
BK021365,Thomas Cook,USA,Leisure,2026-01-20,1283,Cancelled
BK021366,MakeMyTrip,Germany,,2026-11-14,3976,Cancelled
BK021367,Expedia,Italy,Business,2026-11-18,2860,Completed
BK021368,Cox & Kings,Canada,Family,2026-11-05,N/A,Confirmed
BK021369,TUI,Italy,Leisure,2026-05-20,2477,Confirmed
BK021370,MakeMyTrip,,Cultural,2026-07-22,1248,Confirmed
BK021371,MakeMyTrip,UAE,Adventure,2026-06-11,2993,Cancelled
BK021372,Booking.com,Germany,Leisure,,952,Cancelled
BK021373,Expedia,Germany,Wildlife,2026-01-20,3923,Pending
BK021374,TUI,Canada,Family,2026-01-03,4056,Cancelled
BK021375,MakeMyTrip,Australia,Family,2026-02-30,383,Confirmed
BK019333,Booking.com,Germany,Cultural,2026-04-29,1556,Completed
BK021377,MakeMyTrip,USA,Business,2026-02-23,262,Confirmed
BK004465,Thomas Cook,Australia,Cultural,2026-10-14,2923,Pending
BK021379,Cox & Kings,France,Honeymoon,2026-09-02,,Completed
BK021380,Trailfinders,France,Leisure,2026-09-03,3120,Confirmed
BK009824,Thomas Cook,Japan,Honeymoon,2026-08-05,3420,Confirmed
BK017598,Thomas Cook,Germany,Family,2026-12-24,504,Confirmed
BK016077,Booking.com,USA,Honeymoon,2026-10-04,4632,Confirmed
BK021384,Expedia,Australia,Honeymoon,2026-05-25,N/A,Pending
BK021385,Kuoni,France,Business,2026-08-19,640,Pending
BK021386,Thomas Cook,Germany,Leisure,2026-09-24,1283,Confirmed
BK021387,Kuoni,Australia,Adventure,2026-09-23,2915,Pending
BK021388,Cox & Kings,USA,Cultural,2026-08-26,,Cancelled
BK021389,Cox & Kings,France,Leisure,2026/01/01/01,3819,Completed
BK021390,Cox & Kings,Australia,Honeymoon,2026-07-28,2274,Pending
BK021391,Kuoni,UAE,Business,2026-01-30,4259,Completed
BK021392,TUI,Canada,Cultural,2026-01-19,4507,Confirmed
BK021393,Expedia,Australia,Wildlife,2026-08-07,-285,Confirmed
BK021394,Booking.com,Germany,Adventure,2026-10-16,-2363,Pending
BK021395,Cox & Kings,UAE,Family,31-31-2026,3430,Completed
BK011757,Expedia,Spain,Adventure,2026-06-20,944,Cancelled
BK021397,Thomas Cook,Australia,Family,2026-12-28,null,Confirmed
BK021398,TUI,Japan,Business,13/13/13,1103,Cancelled
BK021399,Expedia,Japan,Business,2026-11-06,2783,Cancelled
BK021400,Cox & Kings,,Cultural,2026-06-13,2045,Pending
BK021401,TUI,UAE,Family,2026-12-29,abc,Pending
BK007636,MakeMyTrip,UK,Adventure,2026-04-02,1186,Confirmed
BK001645,Thomas Cook,Germany,Cultural,2026-11-08,256,Pending
BK021404,Booking.com,Italy,Family,2026-02-21,930,Cancelled
BK021405,Kuoni,UAE,Adventure,2026-04-13,4781,Pending
BK021406,Booking.com,Japan,Honeymoon,,4245,Pending
BK021407,Expedia,UK,Family,N/A,939,Completed
BK009418,Kuoni,Canada,Family,2026-04-11,3881,Confirmed
BK021409,MakeMyTrip,France,Business,2026-12-24,3217,Pending
BK008293,Trailfinders,France,Honeymoon,2026-05-19,2935,Pending
BK021411,Kuoni,UAE,Business,2026-05-27,3864,Completed
BK021412,Kuoni,Germany,Honeymoon,2026-07-21,1386,Completed
BK021413,Thomas Cook,Germany,Business,2026-06-05,4532,Pending
BK021414,Booking.com,UK,Business,2026-05-11,2855,Confirmed
BK021415,TUI,Canada,Honeymoon,2026-03-14,-469,Cancelled
BK021416,Cox & Kings,UK,Leisure,2026-07-09,792,Confirmed
BK021417,Trailfinders,Germany,Adventure,2026-04-25,998,Pending
BK011137,Booking.com,Canada,Leisure,2026-03-05,295,Pending
BK021419,Thomas Cook,Australia,Leisure,2026-08-22,-1853,Pending
BK021420,Booking.com,Japan,Cultural,2026-07-06,3348,Confirmed
BK021421,TUI,UAE,Leisure,2026-11-11,2050,Completed
BK021422,Trailfinders,Italy,Cultural,00/00/0000,4684,Confirmed
BK014092,Cox & Kings,Japan,Leisure,2026-04-01,3166,Pending
BK021424,Expedia,Germany,Cultural,,1590,Completed
BK021425,Cox & Kings,Australia,Adventure,2026-11-08,3346,Cancelled
BK019763,Expedia,Japan,Adventure,2026-10-21,4855,Completed
BK008869,Thomas Cook,Australia,Adventure,2026-11-19,2826,Confirmed
BK021428,TUI,Australia,Wildlife,2026-08-29,-2005,Completed
BK021429,Expedia,UK,Wildlife,2026-09-19,2325,Completed
BK021430,Kuoni,Australia,Family,2026-12-06,1803,Pending
BK021431,TUI,UK,Wildlife,2026-07-29,1443,Completed
BK021432,Trailfinders,Spain,Wildlife,2026-10-28,3356,Confirmed
BK021433,Thomas Cook,USA,Leisure,notadate,3962,Cancelled
BK021434,Thomas Cook,Canada,Family,2026-08-11,-1968,Cancelled
BK021435,MakeMyTrip,Germany,Business,,3164,Confirmed
BK021436,TUI,Italy,Honeymoon,2026-08-04,1616,Completed
BK021437,Expedia,UK,Leisure,2026-08-15,3533,Completed
BK021438,TUI,UK,Family,2026-02-15,-1309,Pending
BK004860,Expedia,Italy,Business,2026-07-18,823,Completed
BK021440,Expedia,UAE,Family,2026-09-24,673,Confirmed
BK021441,MakeMyTrip,Japan,Family,2026-09-19,2518,Completed
BK005740,Trailfinders,Germany,Leisure,2026-02-10,1510,Cancelled
BK021443,Expedia,France,Honeymoon,2026-11-30,4819,Confirmed
BK021444,MakeMyTrip,Australia,Business,2026-08-23,798,Completed
BK021445,MakeMyTrip,,Cultural,2026-04-02,1912,Completed
BK021446,MakeMyTrip,UAE,Cultural,2026-10-03,2296,Pending
BK021447,Thomas Cook,UAE,Leisure,2026-04-28,4311,Cancelled
BK021448,MakeMyTrip,France,Family,2026-02-10,-2285,Pending
BK019953,Expedia,Italy,Leisure,2026-01-12,3208,Completed
BK006458,Kuoni,Canada,Honeymoon,2026-05-04,1285,Pending
BK021451,TUI,Canada,Wildlife,2026-09-25,2672,Confirmed
BK021452,Cox & Kings,France,Family,2026-07-27,-2897,Confirmed
BK021453,Kuoni,Canada,Adventure,2026-02-30,3417,Pending
BK021454,Thomas Cook,France,Family,2026-03-07,2187,Confirmed
BK021455,Trailfinders,Canada,,2026-10-17,3208,Completed
BK021456,Kuoni,Spain,Wildlife,2026-04-03,4744,Pending
BK021457,Cox & Kings,UK,Leisure,2026-06-25,1413,Completed
BK021458,MakeMyTrip,Australia,Adventure,2026-05-28,1527,Pending
BK021459,Thomas Cook,Germany,Honeymoon,,2861,Cancelled
BK021460,Trailfinders,UK,Adventure,2026-06-30,4646,Completed
BK021461,Kuoni,Italy,Adventure,2026-04-11,2610,Cancelled
BK021462,Cox & Kings,Japan,Cultural,2026-04-04,4217,Cancelled
BK020607,TUI,UAE,Cultural,2026-12-25,2935,Cancelled
BK019800,TUI,UK,Business,2026-04-29,1029,Completed
BK021465,Thomas Cook,UK,Business,2026-12-17,,Cancelled
BK021466,TUI,UAE,Wildlife,2026-06-16,3632,Cancelled
BK021467,Expedia,UK,Leisure,2026-09-12,-2859,Pending
BK021468,Expedia,Spain,Family,2026-08-12,3007,Cancelled
BK021469,Cox & Kings,Japan,Family,2026-11-10,4648,Completed
BK021470,Kuoni,Spain,Honeymoon,2026-12-27,1772,Cancelled
BK021471,Booking.com,Japan,Cultural,2026-03-19,4128,Cancelled
BK021472,Trailfinders,Spain,Wildlife,2026-12-07,3026,Confirmed
BK021473,Cox & Kings,UAE,Family,2026-12-02,-1462,Completed
BK021474,Booking.com,Italy,Leisure,2026-10-14,2783,Confirmed
BK021475,Booking.com,Canada,Honeymoon,2026-01-04,1514,Completed
BK021476,TUI,Spain,Cultural,2026-04-15,1594,Completed
BK021477,Cox & Kings,Italy,Cultural,2026-12-13,3041,Confirmed
BK006109,Thomas Cook,Spain,Cultural,2026-05-22,1053,Completed
BK021479,MakeMyTrip,Italy,Wildlife,2026-05-08,1124,Confirmed
BK021480,Cox & Kings,Italy,Adventure,2026-11-11,3259,Pending
BK021481,Kuoni,Spain,Cultural,2026-07-12,4356,Completed
BK021482,Trailfinders,Canada,Leisure,2026-04-20,-301,Pending
BK021483,Kuoni,Australia,Adventure,2026-04-27,3227,Completed
BK021484,Trailfinders,UAE,Honeymoon,2026-12-31,3320,Cancelled
BK021485,Thomas Cook,UAE,Business,2026-04-03,-2587,Completed
BK021486,Trailfinders,Germany,Leisure,00/00/0000,4055,Cancelled
BK021487,TUI,UK,Adventure,2026-05-22,-356,Confirmed
BK021488,Booking.com,Germany,Cultural,2026-02-09,----,Pending
BK021489,Thomas Cook,Italy,,2026-08-21,4191,Confirmed
BK021490,Thomas Cook,Germany,,2026-08-19,2362,Confirmed
BK021491,Thomas Cook,Australia,Cultural,2026-10-16,$500,Cancelled
BK021492,Expedia,Germany,Wildlife,2026-02-02,3757,Confirmed
BK021493,TUI,UK,Adventure,2026-04-04,2665,Cancelled
BK021494,Expedia,USA,Family,2026-12-19,-2857,Confirmed
BK021495,Kuoni,Japan,Honeymoon,2026-03-30,-1138,Completed
BK021496,,Japan,Adventure,2026-05-18,113,Pending
BK021497,Kuoni,Australia,Family,2026-02-07,294,Completed
BK021498,Kuoni,Germany,Family,2026-11-09,  ,Confirmed
BK021499,Cox & Kings,USA,Leisure,2026-04-12,----,Cancelled
BK021500,Booking.com,Italy,Wildlife,2026-10-26,3147,Cancelled
BK021501,MakeMyTrip,Canada,Adventure,2026-07-06,4435,Confirmed
BK005594,TUI,Italy,Cultural,2026-10-28,2023,Pending
BK021503,Thomas Cook,Italy,Family,2026-13-45,4632,Pending
BK021504,Cox & Kings,Spain,Wildlife,2026-07-09,-1740,Cancelled
BK021505,Expedia,Canada,Honeymoon,2026-10-05,2466,Confirmed
BK021506,TUI,Italy,Adventure,2026-06-06,2720,Confirmed
BK021507,Kuoni,Spain,Honeymoon,2026-01-09,1440,Pending
BK021508,Thomas Cook,USA,Business,2026-06-12,----,Confirmed
BK021509,TUI,UAE,Business,2026-10-17,2080,Pending
BK021510,Trailfinders,Australia,,2026-11-02,1782,Pending
BK021511,Cox & Kings,USA,Cultural,2026-07-01,4206,Pending
BK021512,Kuoni,Germany,Family,2026-04-27,4653,Completed
BK021513,Booking.com,Spain,Honeymoon,2026-11-28,-2790,Pending
BK021514,Thomas Cook,Japan,Cultural,2026-06-19,$500,Cancelled
BK008021,Trailfinders,UK,Family,2026-02-14,4163,Cancelled
BK021516,Cox & Kings,Japan,Family,2026-05-22,3969,Pending
BK021517,Kuoni,Italy,Adventure,yesterday,3010,Completed
BK021518,Kuoni,USA,Honeymoon,2026-12-27,-2185,Completed
BK021519,Thomas Cook,Canada,Wildlife,2026-10-20,1366,Confirmed
BK021520,Expedia,Italy,Leisure,2026-05-07,2780,Cancelled
BK013403,Kuoni,Australia,Honeymoon,2026-11-16,396,Confirmed
BK021522,Trailfinders,UK,Honeymoon,2026-06-06,,Completed
BK021523,TUI,Australia,Honeymoon,2026-02-08,  ,Confirmed
BK021524,Kuoni,USA,Honeymoon,2026-02-17,3218,Confirmed
BK021525,Cox & Kings,Australia,Cultural,2026-10-19,1306,Confirmed
BK021526,Cox & Kings,Australia,Business,2026-10-20,4681,Confirmed
BK021527,TUI,Canada,Business,2026-12-02,4554,Completed
BK021528,Cox & Kings,Germany,Honeymoon,2026-06-27,1376,Completed
BK021529,Thomas Cook,Japan,Business,2026-03-05,-1683,Confirmed
BK021530,Thomas Cook,Spain,Cultural,13/13/13,2145,Completed
BK021531,MakeMyTrip,Australia,Leisure,2026-12-26,4327,
BK006374,Kuoni,France,Leisure,2026-07-31,4688,Pending
BK006236,Expedia,Japan,Honeymoon,2026-02-23,194,Completed
BK021534,Booking.com,Spain,Business,2026-11-22,4816,Cancelled
BK021535,Cox & Kings,USA,Business,notadate,4390,Completed
BK021536,,Japan,Business,2026-08-10,4524,Completed
BK021537,MakeMyTrip,Germany,Family,2026-09-20,-664,Pending
BK021538,,Germany,Business,2026-08-26,3205,Confirmed
BK021539,Kuoni,Germany,Leisure,2026-10-07,2347,Cancelled
BK013065,Trailfinders,Canada,Adventure,2026-03-06,2001,Cancelled
BK021541,,Canada,Family,2026-09-21,4927,Confirmed
BK021542,Thomas Cook,Japan,Cultural,2026-11-28,2131,Completed
BK021543,Booking.com,Italy,Business,2026-05-14,376,Pending
BK021544,Kuoni,Australia,Wildlife,2026-07-14,-925,Cancelled
BK021545,Thomas Cook,USA,Wildlife,,4358,Completed
BK004809,Expedia,Italy,Cultural,2026-05-25,2361,Confirmed
BK021547,Trailfinders,France,Cultural,2026-07-16,,Completed
BK021548,Trailfinders,USA,Honeymoon,2026-08-20,----,Completed
BK021549,Trailfinders,Spain,Adventure,notadate,4397,Pending
BK021550,Kuoni,,Honeymoon,2026-09-28,3416,Confirmed
BK021551,TUI,France,Adventure,2026-12-04,-1438,Completed
BK021552,Expedia,France,Honeymoon,2026-10-05,3774,Pending
BK021553,Expedia,France,Wildlife,Jan 15 2026,1852,Pending
BK021554,Trailfinders,UK,Leisure,2026-06-08,-987,Confirmed
BK005107,Trailfinders,Germany,Leisure,2026-05-25,3912,Pending
BK021556,Trailfinders,France,Cultural,2026-06-06,4756,Confirmed
BK021557,MakeMyTrip,UK,Honeymoon,2026-01-07,1048,Confirmed
BK021558,TUI,Spain,Business,2026-08-30,2866,Pending
BK021559,Kuoni,USA,Leisure,2026-13-45,3284,Cancelled
BK021560,Kuoni,Japan,Family,2026-06-30,,Completed
BK021561,TUI,Australia,Family,2026-11-20,-1337,Confirmed
BK021562,TUI,Canada,Honeymoon,2026-06-09,----,Cancelled
BK021563,Expedia,UAE,Leisure,2026-05-03,4534,Confirmed
BK021564,Kuoni,UK,Wildlife,2026-11-29,4754,Pending
BK021565,MakeMyTrip,USA,Cultural,2026-10-29,232,Completed
BK021566,Thomas Cook,France,Wildlife,,629,Completed
BK021567,Trailfinders,Australia,Wildlife,2026-08-23,333,Confirmed
BK021568,Thomas Cook,Italy,Leisure,2026-12-26,NaN,Confirmed
BK021569,Kuoni,UAE,Business,2026-04-25,100,Confirmed
BK021570,Thomas Cook,Japan,Family,,3837,Completed
BK021571,Trailfinders,Spain,Adventure,2026-05-18,-1334,Pending
BK021572,Expedia,Italy,Adventure,2026-08-08,1314,Pending
BK021573,Expedia,Australia,Family,2026-06-03,2686,Completed
BK021574,Trailfinders,,Leisure,2026-05-11,4354,Pending
BK021575,MakeMyTrip,,Cultural,2026-08-09,4739,Confirmed
BK014475,Kuoni,Japan,Leisure,2026-06-06,1383,Cancelled
BK017774,Kuoni,USA,Adventure,2026-11-07,532,Cancelled
BK004507,Expedia,UK,Business,2026-06-09,530,Completed
BK021579,Trailfinders,Spain,Business,2026-06-11,1372,Completed
BK021580,Expedia,Japan,Leisure,2026-09-25,abc,Completed
BK021581,Thomas Cook,Australia,Family,2026-13-45,432,Confirmed
BK021582,Expedia,UAE,Wildlife,2026-02-15,3754,Pending
BK021583,Booking.com,UAE,Wildlife,2026-01-05,3403,
BK021584,Cox & Kings,Germany,Adventure,2026-08-07,NaN,Confirmed
BK021585,Booking.com,USA,Family,,4682,Cancelled
BK021586,Thomas Cook,Australia,Wildlife,N/A,3728,Confirmed
BK021587,Trailfinders,UK,Leisure,2026-12-07,2418,Cancelled
BK021588,Trailfinders,Canada,Honeymoon,2026-05-07,"1,000",Confirmed
BK021589,Trailfinders,Spain,Family,00/00/0000,1800,Cancelled
BK021590,TUI,Japan,Honeymoon,2026-02-12,3060,Cancelled
BK021591,Thomas Cook,France,Cultural,2026-04-26,4415,Completed
BK021592,Trailfinders,UAE,Honeymoon,,2845,Confirmed
BK021593,Kuoni,Japan,Business,2026-09-07,  ,Confirmed
BK021594,Thomas Cook,UAE,Adventure,2026-07-18,"1,000",Pending
BK021595,Kuoni,Australia,Honeymoon,2026-09-17,4593,Completed
BK021596,Trailfinders,Germany,Wildlife,2026-08-30,-928,Completed
BK021597,Kuoni,Spain,Wildlife,2026-01-31,-773,Pending
BK021598,Thomas Cook,Canada,Cultural,2026-12-23,4844,Cancelled
BK021599,Expedia,UK,Adventure,2026-03-24,1306,Pending
BK021600,MakeMyTrip,Spain,Honeymoon,2026-10-02,2248,Completed
BK021601,Expedia,UAE,Cultural,2026-06-29,3587,Completed
BK021602,Booking.com,Australia,Cultural,2026-01-30,1098,Cancelled
BK021603,Thomas Cook,Australia,Business,2026-02-10,1892,Pending
BK021604,MakeMyTrip,Germany,Family,2026-01-23,-562,Completed
BK021605,MakeMyTrip,UAE,Honeymoon,2026-10-05,993,Pending
BK021606,Cox & Kings,USA,Leisure,2026-11-08,2809,Cancelled
BK021607,Kuoni,Japan,Leisure,2026-08-21,-2222,Completed
BK021608,Trailfinders,Italy,Adventure,2026-02-20,3676,Confirmed
BK021609,Thomas Cook,Canada,Honeymoon,2026-12-02,1353,Cancelled
BK005627,Booking.com,France,Cultural,2026-10-24,4797,Cancelled
BK021611,Trailfinders,Germany,Cultural,2026-03-04,4318,Completed
BK008848,TUI,Germany,Adventure,2026-11-03,3830,Cancelled
BK021613,Thomas Cook,Japan,Wildlife,2026-07-26,404,Confirmed
BK021614,Kuoni,,Leisure,2026-09-07,1413,Pending
BK021615,TUI,Spain,Cultural,2026-09-11,4952,Cancelled
BK021616,MakeMyTrip,Japan,Wildlife,2026-04-04,,Confirmed
BK021617,TUI,France,Honeymoon,2026-09-09,3702,Pending
BK021618,Thomas Cook,Australia,Leisure,2026-07-26,-467,Completed
BK021619,Trailfinders,Australia,Business,yesterday,1752,Completed
BK021620,Expedia,France,Leisure,2026-08-01,1900,Pending
BK021621,TUI,Italy,Family,2026-11-27,1541,Completed
BK021622,MakeMyTrip,Spain,Cultural,2026-08-30,840,Pending
BK021623,Cox & Kings,Japan,Adventure,2026-09-04,,Pending
BK021624,Trailfinders,Spain,Honeymoon,2026-02-17,1453,Confirmed
BK021625,Cox & Kings,UK,Honeymoon,13/13/13,4386,Cancelled
BK004153,Kuoni,UK,Honeymoon,2026-07-23,2572,Cancelled
BK021627,Expedia,,Adventure,2026-09-22,3591,Confirmed
BK021628,Cox & Kings,Spain,Wildlife,2026-11-03,365,Pending
BK021629,Thomas Cook,Australia,Leisure,,2442,Completed
BK021630,MakeMyTrip,Italy,Cultural,2026-13-45,662,Cancelled
BK021631,Booking.com,Canada,Wildlife,2026-09-29,-2186,Cancelled
BK021632,TUI,Italy,Cultural,2026-01-20,698,Cancelled
BK021633,Kuoni,Canada,Adventure,2026-01-28,1226,Cancelled
BK021634,Expedia,Australia,Wildlife,2026-06-10,2689,Confirmed
BK021635,Expedia,Spain,Family,2026-11-12,NaN,Pending
BK021636,Booking.com,Japan,Cultural,,1006,Completed
BK021637,Trailfinders,Japan,Business,2026-01-23,2592,Completed
BK021638,Thomas Cook,UK,Business,2026-08-09,2419,Pending
BK021639,Kuoni,Australia,Cultural,2026-02-26,3439,Completed
BK021640,Expedia,Spain,Family,yesterday,4837,Pending
BK021641,Trailfinders,UK,Business,2026-08-12,4005,Cancelled
BK003317,Expedia,Italy,Honeymoon,2026-10-14,312,Pending
BK021643,Booking.com,Australia,Wildlife,2026-01-24,143,Confirmed
BK021644,MakeMyTrip,Japan,Leisure,2026-03-20,1010,Cancelled
BK021645,Expedia,UAE,Family,2026-10-02,$500,Confirmed
BK021646,Expedia,UK,Family,2026-03-11,4339,Completed
BK021647,TUI,UAE,Wildlife,2026-12-22,2675,Confirmed
BK021648,TUI,Germany,Adventure,2026-01-30,2555,Confirmed
BK021649,Kuoni,Australia,Family,2026-02-27,,Completed
BK002670,Thomas Cook,UAE,Wildlife,2026-04-20,1617,Cancelled
BK021651,Expedia,Germany,Family,2026-02-30,3734,Completed
BK021652,Thomas Cook,France,Leisure,2026-05-07,315,Completed
BK021653,Booking.com,UK,Wildlife,2026-07-20,1921,Completed
BK009926,Expedia,Japan,Adventure,2026-04-19,1844,Pending
BK021655,Booking.com,Spain,Wildlife,,1812,Pending
BK021656,Expedia,Germany,Adventure,00/00/0000,1465,Cancelled
BK021657,MakeMyTrip,Spain,Honeymoon,2026-08-22,4366,Pending
BK002021,Booking.com,Spain,Honeymoon,2026-01-24,4477,Confirmed
BK021659,Cox & Kings,Germany,Cultural,2026-09-22,425,
BK021660,Cox & Kings,Japan,Leisure,2026-03-02,-62,Pending
BK021661,Expedia,Japan,Honeymoon,2026-03-03,473,Cancelled
BK008727,Booking.com,UK,Adventure,2026-02-08,651,Pending
BK021663,MakeMyTrip,Germany,Cultural,2026-05-12,1332,Confirmed
